"code","Latitude","Longitude","Altitude","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
82704,-7.6,-72.66666666,170,247,258.3,292.6,232.8,155.6,89.7,59.1,76.4,113.2,191,222.2,229.5
82915,-9.95,-67.86666666,160,294.4,298.4,278.1,207.4,87.7,32.8,31.9,56.5,84.8,153,206.7,265.9
82807,-8.16666666,-70.76666666,190,281.7,257.6,326.8,200.9,135.9,60.9,48.7,62.5,112,193.1,262.3,270.5
82989,-9.28333333,-37.9,605.34,39.7,57,108.5,85,147.9,178.4,164.9,99.8,41.5,29.5,28.4,42
82994,-9.66666666,-35.7,64.5,83,72.9,117.4,207.5,296.9,353.8,265.2,201.5,120.2,61.6,46.9,40.5
82992,-9.45,-36.7,274.9,38.5,42.9,68.2,99,131,167.7,134.2,86.6,41.8,19,15.9,33.4
82990,-9.75,-37.43333333,19.1,56.5,36.7,50.9,59.8,86.5,90,81.5,56.1,24.6,19.3,12,12.8
82996,-9.18333333,-35.43333333,50.02,68.2,90.9,201.1,211.6,227.6,305.7,240.4,166.2,91.9,43.2,32.5,39.6
82113,-0.96666666,-60.91666666,40,175.2,185.9,262.7,326.7,312.5,259.5,188.4,136.9,109.9,102.6,139.9,162.4
82410,-4.38333333,-70.03333333,65,331.9,283.6,299.3,261.6,208.3,145.6,107.8,105.9,136,210.8,247.1,252.9
82425,-4.08333333,-63.13333333,46,264.5,265.5,322.3,272.4,213.1,128.9,87.2,68.9,100.4,156.7,215.6,261.7
82326,-3.8411111,-62.05527777,32,332.5,356.4,422.9,402.4,297.4,158.1,108.4,91.7,136.5,186,231.8,346.3
82610,-6.66666666,-69.86666666,104,281.7,273.1,267.9,264.4,154.6,87.8,59.3,78,137.1,189.6,233.7,278
82212,-2.53333333,-66.16666666,55.57,237.9,207.9,257.3,278,271.2,215.4,179.4,134.7,146.1,188,176.6,216.6
82067,0.61,-69.18333333,120,233.3,234.5,279.1,328.5,378.7,341.1,313.2,243.9,220.9,240.6,215.7,233.2
82336,-3.13333333,-58.43333333,40,327.2,286,371.2,301.6,255.5,152.1,100.6,74.9,84.3,97,147.1,214.9
82723,-7.25,-64.83333333,61,314.1,315.2,357.7,273.7,147.8,46.1,32.4,72.7,112.5,198.8,243.2,291.2
82331,-3.10333333,-60.01638888,61.25,287,295.1,300,319,246.9,118.3,75.4,64.3,76.3,104.1,169.2,245.6
82533,-5.81666666,-61.3,50,319.7,347.9,327.3,315.9,210.3,101,48.6,60.5,104.9,199.6,220.5,266.7
82240,-2.63333333,-56.73333333,29,292.7,335.6,363.6,346,281.1,186.4,149.9,73.8,63.1,76.7,116.3,189.7
82106,-0.12499999,-67.06111111,90,295.7,239,246.9,264.5,346.5,294.1,253.2,209.8,181.6,195.5,204.2,273
82317,-3.83333333,-64.7,47,274.2,247.1,306.5,297.1,254.3,158.2,120.5,96.4,132.9,160.3,181,217.2
82098,-0.05,-51.11666666,14.46,294.7,343.3,394.2,384,319.5,244.7,190.8,92.4,28,34.8,69.8,153.5
82095,0.7,-51.45,83.93,288.3,NA,307.7,347,326,221.1,176.7,124.7,63.4,84.9,91.2,125.5
82092,0.9,-52.01666666,163,238.4,311.2,304.6,273,282.5,206,168.1,135.1,81.6,78.6,96.4,167.3
83249,-12.14833333,-38.42555556,130.92,59.8,65.4,75.6,124.6,153.7,152,109.3,93.2,66.7,48.6,61.2,63.2
83179,-11.08333333,-43.16666666,401.58,97.9,100.4,125.5,77.9,15.3,2,0.2,0.6,8.5,33.5,93.5,115.1
83236,-12.15555555,-45.00777777,439.29,164.6,126.8,154.9,74.5,23.7,3.6,1,1.3,10.4,65.6,173.3,203.7
83288,-13.25138888,-43.40527777,439.96,118.5,100.3,111.7,52.5,10.1,1.9,0.6,2.6,15.8,54.7,121,207.8
83339,-14.06666666,-42.48333333,882.47,98.4,69,120.7,45.8,12.5,10.1,10.4,4.9,17.6,61.9,153.6,164.6
83226,-12.66666666,-38.31666666,47.77,87,101.7,143.7,226.9,244.4,232.8,184.9,139.7,103,85.8,111.8,74.9
83398,-15.66666666,-38.95,3.87,95.2,118.4,180.2,195.5,145.1,135.5,140,91.2,77.4,124.8,143.2,145.3
83498,-17.73916666,-39.25833333,2.88,83.8,66.7,147.5,161.8,134.9,85.1,105.6,58.3,90.2,102.7,220.7,148
83408,-14.28333333,-43.76666666,450.18,101.8,105.2,119.5,42.2,5,2.1,0.4,0.2,9.5,35.3,145.3,191.1
83192,-11.08333333,-38.51666666,145.31,35.9,43.5,64.3,54.7,57.8,62.2,52.8,36,27.4,24.8,56,39
83286,-13.33222221,-44.61722221,549.57,130,104.4,145.5,62,9,0.5,0.3,2.3,10.2,74.2,164.7,220.8
83222,-12.66666666,-39.08333333,225.87,63,70.2,97.5,136.5,122.8,142.6,122.8,91.3,79.6,54.8,76.8,59.5
83221,-12.1961111,-38.96722221,231.68,68.8,79.1,40.8,66.8,84.7,94.9,72.1,56.5,41.6,31.6,67.4,50
83446,-16.73333333,-39.55,194.67,98.4,85.9,140.2,101.6,57.3,48.5,58.8,44.2,51.2,83.3,171.5,155.6
83182,-11.3,-41.86666666,747.16,91.8,81.2,112.5,45.7,16.2,1.2,1.1,0.8,4.1,34.3,99.2,120.9
83244,-12.51666666,-40.28333333,249.89,68.3,61.7,95.7,58.7,32.4,36.1,33.3,20.3,18.4,38.5,74.3,80.2
83295,-13.52805554,-40.11972221,755.61,67.4,76,97.5,64.1,52.5,64.3,62.1,47.3,44.3,47.1,103.1,90.5
83292,-13.81277777,-41.3,531.43,76,74.7,91.9,54.4,18.6,14.7,8.8,6.3,17.3,42.1,93,120.1
83186,-11.17277777,-40.53416666,484.74,104.5,67.9,136.8,82.1,45.9,42.2,36.7,33.6,21.8,30.2,83.8,101.1
83242,-12.5575,-41.38888888,438.74,116,96.4,182.7,124.9,59.8,50.7,36.9,35.4,28.5,72.5,132.3,132.6
83090,-10.44249999,-39.3311111,464.6,55.5,57.6,68,63,52.6,62.7,51,34.8,18.9,25.2,49.8,64
83184,-11.21666666,-41.21666666,1003.27,71.1,65.1,102,63.1,29.6,33.3,29.5,23.6,18.1,38.4,97.2,83.5
82986,-9.36666666,-38.21666666,252.69,49.2,38.3,76.8,75.3,54.2,62.6,49.3,29,11.7,17.1,19.5,30
82979,-9.63333333,-42.1,400.51,125,110.6,125.3,60.8,9,2.2,0.7,1.2,2.3,21.3,74,89
83229,-13.00527777,-38.50583333,51.41,82.5,107.2,156.8,295.7,279.8,245.6,208.6,133.5,101.6,95.2,106.5,58.1
83088,-10.46666666,-40.18333333,558.24,75.5,65.6,96.2,80.6,73.4,79.7,63.3,40.3,21.1,28.7,65.1,62.8
83190,-11.63333333,-38.96666666,359.63,71,56.2,83.1,69.6,71.3,95.2,67.6,54.4,38.6,38.2,63.4,65.7
83076,-11.01666666,-44.51666666,450.3,141.8,128.7,169.1,77.5,24.2,1.4,0,2.6,9.4,78.3,169.4,174
83344,-14.88333333,-40.8,874.81,98.7,76.7,114,57.4,24,20.8,24.8,19.9,20.8,45.9,129.5,125.6
82294,-2.88333333,-40.13333333,16.5,113.5,173.1,321.1,308.9,142.3,64.6,25.1,5.3,2.3,2.1,2.5,14.5
82784,-7.31666666,-39.3,409.03,190.9,202.1,231.7,188.5,64.6,12.1,20.6,2.9,2.9,15.1,29.5,99
82777,-7,-40.38333333,583.5,99,111.7,137.6,109.4,35,4.8,5.4,0.9,2.1,10.3,19.8,63.1
82583,-5.16666666,-40.66666666,296.82,117.4,122.5,183.6,178.7,67.1,13.1,6.8,7.1,0.7,6.5,11.1,23.8
82397,-3.76666666,-38.55,26.45,134.6,186.9,349.4,412.8,255.1,153.7,70.1,24.9,17.8,11,9.1,43.5
82487,-4.28333333,-39,870.67,176.1,160.3,289.6,317.1,240.8,199.5,92.3,44.7,23.8,26.1,33.5,64.2
82686,-6.36666666,-39.3,217.67,133.8,167.3,221.2,196.8,102.7,27.6,12.6,14.4,12.3,19,7.9,67.5
82493,-4.78333333,-37.76666666,11.71,62.9,92,192.1,186.8,107.3,43.6,17.3,7.1,2.6,2.2,0.8,9.4
82588,-5.11666666,-38.36666666,43.62,83.6,99.6,168.5,177.8,104.8,66.1,22.3,10,1.5,3,1.7,27
82586,-5.16666666,-39.28333333,79.5,87.7,77.8,146.2,173.1,105.2,55.3,23.4,16.3,2.3,1.3,3.3,20.9
82392,-3.73333333,-40.33333333,109.62,139.5,153,229.9,217,104.6,33.7,17.7,5.1,0.8,0.8,4.7,24.9
82683,-6,-40.41666666,398.77,109.8,94.3,142,126.9,50.4,16.5,9.8,6,1.8,5.9,5.7,30.7
83377,-15.78972221,-47.92583332,1159.54,209.4,183,211.8,133.4,29.7,4.9,6.3,24.1,46.6,159.8,226.9,241.5
83373,-15.93333333,-47.88333333,1100.57,210.4,190.2,228.5,116,28.3,4.8,0.5,13.1,41.3,122.8,217.5,243.6
83038,-19.81666666,-40.25,65.4,167.2,76.3,163.7,104.4,58.4,38.9,58.7,51.7,79.1,111.3,246.3,219.9
83557,-18.53694444,-40.27222221,100,133.4,76.5,146.1,93.7,39.5,37,40,25.6,41.5,73.2,211,190.9
83597,-19.41666666,-40.06666666,28.6,156.2,103.9,147.1,106.1,57.7,43.4,49.4,34.5,63.8,95.3,221.1,188.7
83596,-19.40708333,-40.53969444,85,164.1,102.9,154.7,76.4,37.9,28.4,29.7,22.6,36,96.7,178.8,201.2
83647,-19.93305554,-40.58305554,648,227.8,95.5,172.6,93,42.8,37.3,42.5,42.7,69,114.3,222.7,226.6
83550,-18.7,-39.85,25.04,134.7,91,159.1,122.8,65.5,53.1,63.9,43.7,86.9,115.1,236.1,181.8
83045,-20.38333333,-41.18333333,710,224.8,103.6,203.4,118.1,52.8,31.2,32.6,35.7,60,111.3,205.5,277.6
83648,-20.31666666,-40.31666666,36.2,138.7,79.4,135.3,115.7,73.7,56.3,59.7,49.6,67.9,122.7,219.9,199.7
83368,-15.9,-52.23333333,345,308.5,216.3,218.8,79.2,21.9,9.4,7.1,14,45.2,121.5,193.6,268.5
83526,-18.18333333,-47.95,840.47,282.9,196.2,224.6,70.2,34.8,8.1,5.3,15.4,41,115.7,178,277.4
83379,-15.54916667,-47.33861111,935.19,235.6,200.4,211.7,93.9,20.6,4.2,3.2,11.8,35.3,123.7,201.9,277.9
83350,-15.21666666,-49,650.91,274.3,217.9,209.3,91.4,16.4,7,2.8,7.8,42.2,128.8,223.3,297.7
83423,-16.66666666,-49.25,741.48,247.8,222.9,258.2,130.3,28.7,9.7,3.3,16.2,52.8,154.8,218.4,290.4
83374,-15.91666666,-50.13333333,512.22,345,268.3,252.4,115,28.9,10.6,4.6,11.8,45.8,147.4,238,341
83522,-17.71666666,-48.16666666,772.99,286.3,204.1,206.6,79.4,34,7.9,5.6,13.9,53.2,112.3,193.9,296
83523,-18.41666666,-49.21666666,449,267.8,201.1,179.1,71.9,30.4,12.7,4.6,7.2,50.3,84.8,193.1,255.3
83464,-17.91666666,-51.71666666,662.86,267.3,233,273.1,112.2,49.3,19.7,8.2,24.7,62.2,133.5,188.3,277.4
83376,-15.85,-48.96666666,740,285.9,248.6,233.7,146.9,28.4,9,5.7,14.5,49.2,150.8,242.9,310.3
83332,-14.1,-46.36666666,825.64,210.1,218.3,236.6,110.1,25.5,1.6,1.5,7.7,22.6,116.1,211,278.4
83470,-17.8,-50.91666666,774.62,258.6,211.4,267.1,102.3,37.7,14.7,9.9,13.9,49.5,136.2,239,272.6
82970,-9.1,-45.93333333,285.05,235.4,197.6,256.3,144.6,35.6,2,1.2,4.8,20.7,89.3,156.4,215.5
82460,-4.21666666,-44.76666666,25.07,263.8,263.8,390.4,358.4,195,54.6,17.9,14.6,10.6,35.4,67.8,135.3
82768,-7.53333333,-46.03333333,259.38,195.9,178.9,206,134.8,46,4,2.3,4.2,27.6,98,133.1,201.7
82571,-5.5,-45.23333333,153,179.8,199,236.8,187.5,69,16.2,6.9,12.3,17.4,37.8,75.7,138.7
82765,-7.33722221,-47.46,192.83,268,271.7,296.4,203.5,91,10.1,6.9,8.9,41.4,136.4,151.6,241.9
82476,-4.86666666,-43.35,103.56,215.9,242.1,353,298.2,143.3,32.2,16.3,14.9,9.5,25.7,39.3,127.5
82382,-3.75,-43.35,103.5,215.5,276,368.2,344.5,213.6,72.2,32.4,10.3,5.5,15.1,27.3,93.9
82676,-6.03333333,-44.25,179.75,195.5,190.3,280.3,205.7,69.9,15.2,6.6,6.9,28.3,69.1,100.2,147
82568,-5.81666666,-46.46666666,163.07,184.7,213.9,243.5,171.5,41.8,17,2.2,7.3,37.5,53.5,100.8,133.9
82564,-5.53333333,-47.48333333,123.3,253,220.7,295.8,206.5,91.9,14.7,6.5,9.1,39,70.8,117.8,190.5
82280,-2.53333333,-44.21666666,50.86,226.4,321.4,462.1,457.6,302,183.4,122.9,30,6.4,4.7,10.5,72.5
82198,-1.66666667,-45.36666667,44.06,208.5,307.3,458,418.2,301,215.4,155.7,49,15.4,8.9,7.1,53
82376,-3.26666667,-45.65,45.28,254.7,296.1,359,346.2,218.2,91.6,47.1,22.5,20.9,31.9,47.9,118
83595,-19.49444444,-41.07749999,82.74,145.6,67.4,116.2,52.1,34,13.8,9.9,18.7,29.3,71.9,177.5,188.5
83442,-16.83333333,-42.05,289,109.3,78.9,110.2,30.7,15.6,3.5,4.6,6.6,13.9,58,154.3,170.2
83579,-19.60555555,-46.94944444,1023.61,304.3,215.3,192.1,78,49.1,11.4,9.6,17.6,67.7,123.6,193.1,292.4
83384,-15.91527777,-46.10666666,519,186.6,142.3,170.6,65.8,15.1,2.9,5.1,10.5,16.5,69.5,215,280.7
83582,-20.0311111,-46.00888888,661.27,296.8,195.3,155.4,71.1,42.3,14.9,11.2,18.1,62.4,113.7,177.5,306.8
83689,-21.23972221,-43.78138888,1126,290.6,156,178.2,65,38.8,17.7,11.9,18.5,76.1,126.7,208.8,269.7
83587,-19.93416666,-43.95222222,915,329.1,181.4,198,74.7,28.1,9.7,7.9,14.8,55.5,104.7,239.8,358.9
83533,-19.71916666,-45.36777777,695,280.1,170.1,142.3,48.7,36.5,8.9,7.6,13.2,52,115.3,196.1,314
83383,-15.61666666,-46.41666666,600,198.6,129.3,177,58.2,22,4.6,1.1,7.5,26.3,83.6,230.7,243.8
83589,-19.02055554,-43.43388888,652,259.6,128.5,182.3,75.9,24.2,10.2,8.7,10.4,30.1,85.3,236.9,331.8
83681,-21.91666666,-46.38333333,1150,295.3,224.6,187.1,77.9,67,23.8,19.9,29.4,78.9,136.3,174.6,287.3
83639,-20.51666667,-41.9,843.18,248.7,131.3,165.8,65.2,29.6,14.8,12.1,25.3,39.3,100.5,208.6,281.5
83514,-18.72638889,-49.5625,620.6,287.6,224.7,183.8,72.6,38.1,18.3,6.3,13.8,47.9,122.2,168.1,251.3
83592,-19.73583333,-42.13694444,609.65,220.8,96.7,143.8,70.6,25.6,12.5,6.5,15.5,41.6,80.4,209.1,278.6
83485,-17.53333333,-43,736.38,162.5,99.4,139.4,44.3,11.8,3.8,5,5.6,19.3,90.2,193.8,245.9
83686,-21.96666666,-44.93333333,958.51,324.3,211.4,196.4,72.3,63.4,30,13.3,15.7,83.5,121.3,209.3,333.4
83613,-19.5,-42.63333333,210,239.8,137.1,162.5,66.6,40.6,15.2,7.4,18.1,48.7,108,258.1,312.8
83037,-21.56666666,-43.25,435,355.1,195.1,220.6,79.4,42.2,19.5,12.6,17.6,72.3,103.7,206.1,296.4
83536,-18.7475,-44.45472222,672,208.8,116.3,154.6,43.1,18.7,6.6,6.2,11.7,19,67.8,191,250.2
83538,-18.23888888,-43.61694443,1296.12,236.7,142.7,185,76.6,22.9,6.3,4.7,13.2,33.1,118.5,232.7,302.9
83635,-20.17305554,-44.87444443,788.35,300.2,167.3,157,51.2,27.3,13.6,7.9,17.3,52,109.7,208.4,296.2
83438,-17.1,-43.8,633,214.6,76.2,117.3,43.7,5.9,7.3,9.6,2.9,23.9,57.6,176.8,206.5
83338,-14.91222222,-42.80833333,569.64,129.4,80,109.4,40.5,9.3,1.2,1.3,1.8,10.4,48.5,135.1,172.7
83657,-21.31666666,-46.36666666,823,254.5,236.5,204.4,74.7,77.5,28.2,22.6,18.4,69.1,130,143,246.2
83581,-19.88527777,-44.41722221,753,275.5,154.4,185.1,58.5,25.3,12,7.4,12.1,44.5,90.6,208.1,319.9
83334,-14.94944444,-46.23583333,848,182.8,166.7,198,94.6,18.3,3.5,0.9,4.6,22.4,88.9,205.8,239.2
83574,-20.03499999,-48.93027777,543.67,325.1,209.8,209.8,78.7,38.6,20,9.4,16.3,65.4,110,157.8,232.6
83543,-18.85,-41.93333333,148,173,83.5,113,48.8,23.1,13.6,8,13.6,33.9,69.8,170.4,234.9
83632,-20.01611111,-44.08444444,814.54,286,165.4,175.3,67.6,29.9,11.7,5.7,13.2,53.3,121.5,205.3,349.9
83488,-17.85972222,-42.85277777,914,185.9,104.3,135.7,46.9,12.9,4.1,5.8,8,24.3,98.7,222.5,227
83521,-18.95277777,-49.52499999,560,305.4,193.5,191.9,83.9,37,16.8,6.5,14,49,127.3,161.5,235.4
83395,-15.8025,-43.29694444,516,155.2,75.7,113.5,33.8,6.6,1.5,0.6,3.1,8.1,47.6,164.5,170.5
83386,-15.45,-44,473.71,151.3,115.5,147.1,45.2,7.1,2.8,1.1,1.8,9.3,61.1,186.1,219.9
83591,-19.82388888,-43.1436111,859.84,232.8,125.9,193.1,68.5,29.2,14.1,6.3,13.7,43,97.8,250.2,326.7
83481,-17.73999999,-46.17666666,760.36,261.6,170.6,203.8,63.2,27.9,3.4,6.3,11,28.1,90.2,217.7,276.9
83692,-21.76666666,-43.35,939.96,322.1,174.7,221.1,78.6,44.2,20.6,14.1,18.5,69.9,132.1,212.1,316
83452,-16.77499999,-43.66694443,648,156,105.1,122.1,44.5,10.1,5.2,0.7,1.6,15.9,73.5,195.8,213.1
83032,-21.94416666,-45.31805554,878.45,319.2,205,196.2,89.6,60.4,31.7,25.1,19.2,95.2,121.3,189.3,302.1
83687,-21.75,-45,918.84,272.9,209.5,168.3,57.2,45.7,20.3,11.1,12.9,70.8,114.7,187.7,290.7
83683,-21.68138888,-45.94055555,873.35,309.1,218.1,199.6,76.3,64.1,18.8,21.9,16.5,83.6,117.1,173.8,257
83015,-22.31472222,-45.37305554,1276.33,295.3,196.3,175.2,83.2,76.3,42,32.5,32.4,93.6,139.2,197.7,283.4
83389,-15.08638888,-44.01638888,452,149.5,95,112,54.4,7.9,1.7,0.8,1.3,6.7,58.4,153.7,192.8
83388,-15.16027777,-42.86611111,625,132.5,95.9,117.3,35.2,5.3,1.2,0.4,1.4,13.1,52.8,138.9,178.1
83437,-16.68638888,-43.8436111,652,191.8,108.7,154.1,38.6,8.8,4.4,0.8,2,20.2,83.1,224.4,249.5
83694,-21.13333333,-42.33333333,270.8,262.5,156.3,198.5,106.1,50.4,17.1,14.8,25.7,92.7,122.1,243.8,269.6
83637,-20.68333333,-44.81666666,966.5,279.2,103,164.9,55.3,37.5,15.4,9.4,14,52.6,124.2,182.3,257.2
83479,-17.24416666,-46.88166666,712,276.9,196,208.3,78.1,20.5,7.3,4.2,14,32.5,105.7,203.1,346.3
83737,-22.38277777,-44.96666666,920,299.7,194.1,163.1,65.5,60.2,35.1,29.9,17.2,83.4,151.8,173.4,284.9
83531,-18.51972221,-46.43944444,940.28,287,187.2,209.8,62.5,32.1,10.6,2.9,12.1,43.6,94,210.6,311.8
83393,-16.01,-41.2811111,648.91,113.9,64.2,131.1,61.4,29.7,11.3,11.9,8.4,18,52.3,164.3,187.2
83483,-17.34916666,-44.92166666,505.24,216.2,111.6,139.1,51.1,15,3.7,4.7,6.6,23.2,83.5,218.9,244.5
83570,-19.22916666,-45.00111111,690.91,250.3,156.2,167.8,49.3,27.2,8,7.4,12.7,30.2,63.7,190.2,276.3
83061,-19.83333333,-42.63333333,320,282.4,146.1,126.7,68.9,32.1,8.2,14.2,17.5,35.5,96.2,231.5,274.3
83441,-16.15475,-42.28516667,471.32,136,77.1,136.7,48.4,14.5,3.5,5.1,2.7,18,72.8,176.3,186.1
83688,-21.3,-44.26666666,991,320.4,183.8,192.9,65.1,41,15.1,11.5,22.4,78.3,129.2,195.5,326.8
83736,-22.1,-45.01666667,953.2,323.9,203.3,188.7,73.9,65.1,27.3,27.2,24.1,83.5,121.3,170.6,286.3
83631,-20.91666666,-47.11666666,820,335.5,245.4,203.9,77,65.9,23.7,18,19.8,68.9,148.2,209.8,328.4
83500,-17.78333333,-40.25,202,138.7,68.9,105.5,70.1,38.5,21.9,41.7,21.9,NA,81,166.7,159.9
83586,-19.48527777,-44.17416666,732,260.6,143.3,168.7,51.6,27.8,4.5,6.1,13.1,39.5,87.9,210.4,321.3
83492,-17.85,-41.51666667,356.38,127.8,99.5,153.3,78.8,30.4,18.6,25.9,20.3,34.6,72.9,188.7,213.7
83527,-18.91722221,-48.25555555,868,299,201.8,225.5,83.1,33.9,19.2,7.8,15.3,46.4,116.3,215.1,342.7
