"code","Latitude","Longitude","Altitude","Janeiro","Fevereiro","Mar√ßo","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
83428,-16.36611111,-46.88916666,460,221,184.6,208,90.4,21.8,6.9,3.5,13.3,31,97.1,244.8,289.3
83594,-19.48305554,-42.53305554,298.6,260.5,127.5,159.2,77.2,37.3,9.9,8.2,16.5,31.5,99.5,221.2,311
83642,-20.7625,-42.86416667,712.2,255.3,132.1,165.9,55,29.2,14.5,7.5,13.1,50.7,104.6,207.8,253.3
83611,-20.45,-54.61666666,530.73,225.4,176,149.6,89.4,88.2,47.4,35.7,45.5,77.6,150.6,163.9,206
83552,-19.0211111,-57.67166666,130,155.3,134.3,126.5,65.7,50.3,17.3,23.1,26.9,40.4,86.2,117.5,154.5
83659,-22.23333333,-54.98333333,452,168.1,130.8,145.5,106,92.1,99,40.2,45,113,153.2,143.2,205.7
83704,-22.3,-53.81666666,369.2,205.5,177,121.8,105.9,110.4,65.3,47.5,51,120.3,155.5,165.2,185.2
83513,-18.9886111,-56.62249999,89,172.8,142.1,128.9,68.2,55.8,17.2,10.2,17.5,33.8,100.7,135.9,163.1
83565,-19.75,-51.18333333,331.25,304.6,185.4,196.7,72,48.6,22.2,14.3,15.5,58.4,105.5,141.6,241.4
83702,-22.55222222,-55.71555555,650,230.5,221.6,123.3,132.7,146,75.2,52.3,52.7,134.9,149.3,208.8,172.3
83618,-20.78333333,-51.7,313,241.3,167.1,147.1,78.4,65.7,34.6,17.7,28.5,64.3,111.4,147,191.3
83405,-16.05,-57.68333333,118,252.8,193.7,171.5,89.6,31.9,13.4,16.5,20.8,44.2,96.8,129.2,210.3
83270,-13.47055554,-52.50416666,430,314.3,358.4,243,128.4,4.8,5.8,5.6,1.2,47.1,158.4,232.9,300.4
83361,-15.61972221,-56.10833333,145,247.5,220.4,217.5,117.8,50.4,19.4,16,22.1,51.3,114,172.9,205.2
83309,-14.4,-56.45,286.3,299.5,302.1,271.1,130.8,49.1,14.1,10.4,24.4,73.6,170.2,222.1,263.7
83264,-12.28833333,-55.29388888,415,310.7,337.2,312,116.2,23.5,2.8,6.5,10.9,54.4,183.5,255.7,326.8
83214,-10.25,-54.91666667,285,324.6,308,316.6,164.1,36.1,6.6,4.3,15.4,90.9,179.5,215.4,338.8
83367,-15.53333333,-53.08333333,418,216.8,125.1,130.9,52,19.9,6.1,3.7,24.4,51.8,89.1,159.5,221.3
83319,-14.69777778,-52.35,325,292.3,218.8,193.8,67.8,3.6,4.3,1.1,3.7,32.7,111.7,221.6,266.3
83364,-15.78333333,-56.06666666,140,212.9,156.9,171.6,111.5,34.2,7.1,16.9,21.9,37.6,99.8,126,216.2
83358,-15.83333333,-54.38333333,450,288.3,245.6,275.3,109.7,31.2,8.2,6.2,18.1,66.1,152.8,203.7,280
83410,-16.45,-54.56666666,284,265.2,193.7,146,95.3,36,11.2,NA,6.5,36.7,121,145.1,244.9
83267,-13.43333333,-56.71666666,350,335.2,252,218.6,90.6,28,13.7,4.1,4.9,53,141.1,199.5,281
82353,-3.21666666,-52.21666666,74.04,288.5,319.4,414.6,366.9,228.1,120.6,65.7,27.3,43.6,54.3,93.5,171.8
82191,-1.43333333,-48.43333333,10,384.5,399.5,450.3,424.3,298.4,185.3,153.8,134.8,128.2,129.2,127.4,268.3
82246,-2.63333333,-54.95,175.74,204.3,250.9,321.5,293.3,270.6,132.1,99.3,45.9,27.2,48.8,80.2,111.6
82188,-1.68333333,-50.48333333,14.74,278.3,318.5,377.5,323.6,253,179.5,111.3,63.1,60.2,69.4,87.7,198.9
82263,-2.25,-49.5,23.9,303.3,370.5,422.2,382.3,331.4,187.9,139.2,88.2,63.4,61.2,76.2,165.7
82861,-8.26666667,-49.26666667,156.85,243.6,244,271.8,194.8,94.7,9,5,8.7,60.7,146.5,216.6,265.3
82445,-4.28333333,-55.98333333,45,232.6,293.3,326.6,257.7,194.1,100.9,72.5,53,76.7,99,140.9,180.9
82562,-5.36666666,-49.13333333,95,256.3,299.5,377.2,258.5,119.9,28.5,15.9,11.4,47.2,94.3,151.1,239.4
82181,-2,-54.1,145.85,144.9,217.5,293,320,284,153.1,95.6,46.4,25.6,28.5,41.5,104.2
82178,-1.91666666,-55.51666666,37,261.7,270.6,322.2,278.7,222.6,103.7,75.7,34.1,41.8,54.5,95.1,151.2
82184,-1.73333333,-52.23333333,15.93,224.7,284.5,327.2,384.1,313.1,243.9,154.4,81.1,62.6,54.7,67.2,114.3
82668,-6.63333333,-51.96666666,206,280.8,295.1,322.6,242.9,109.6,38.1,10.6,48.9,135.3,172.2,169.3,215.8
82141,-0.73333333,-48.51666666,10.49,456.8,537.6,647.2,561.5,319.3,185.8,138.6,79.3,15.9,14.6,28.5,150.5
82145,-1.06666666,-46.9,36,281.5,384.9,480.5,423.3,352.7,209.5,185.9,87.5,16.5,10.7,10.2,67
82361,-3.76666666,-49.66666666,40,311.5,413.8,436.7,407.9,249.1,86.9,47.3,31.5,34.8,68.5,113.3,230.9
82696,-6.96666666,-35.68333333,574.62,83,107.4,156.3,151.7,169.2,210.7,182.2,151.2,60.9,21.8,27.5,37.8
82795,-7.21666666,-35.88333333,547.56,45.6,62.8,107.1,89.3,101.7,123.6,96.7,80.1,30,12.5,12.3,15.3
82798,-7.1,-34.86666666,7.43,73.9,105.4,193.9,280.4,284,355.2,302.4,156.4,68.6,33.1,27,33.7
82792,-7.88333333,-37.06666666,603.66,58.7,83.5,113.3,96,113.8,48.2,36,18.8,7.8,21.6,15.6,38.2
82791,-7.01666666,-37.26666666,249.09,115.7,127.5,209.5,127.4,81.6,28.7,9.8,7.8,1.3,7.2,7.1,40.8
82689,-6.75,-38.21666666,233.06,163.2,163.5,252.9,181.4,124.4,37.8,21,10.7,2,9.9,12.2,71.2
82890,-8.43333333,-37.05,680.7,67.9,62.9,111.6,90.6,78.2,90.2,79.7,60.6,19.3,13.6,16,30.6
82886,-8.50333333,-39.31416666,337,97,80.2,146.4,94.1,34.8,NA,11.6,4.9,2.7,12.3,33.6,46.9
82893,-8.88333333,-36.51666666,822.76,40.1,46.1,92.2,101.4,113.2,161.7,141.1,102.2,50,20.1,17.1,33.1
82753,-7.9,-40.05,459.28,105.3,104.7,156.5,105.3,37.7,8.2,11.3,4.1,3.2,13.3,29.5,86.7
82892,-8.4,-36.76666666,639,21.7,75.8,98.1,100.2,83.8,59.7,53.8,27.3,10.8,14.3,19.3,26.2
82983,-9.38333333,-40.48333333,370.46,91,90.7,114.1,44,12.6,5.5,4,1.4,2.7,10.6,52,54
82900,-8.05,-34.95,10,106.1,132.4,210.6,290.5,311.8,391.1,353.7,217.8,100.2,55.2,38.7,55.3
82797,-7.83333333,-35.71666666,418.32,33.8,45.9,73.2,73.2,75.6,106.5,82.9,51.6,23.2,8.4,10.2,24.5
82789,-7.81666666,-38.11666666,1105,135.8,164.4,193.8,193.3,130.1,127.2,107.8,65.6,20.9,25.3,25.3,54.9
82975,-9.14249999,-44.31666666,415,159.3,149.8,172.9,112.3,29.2,1.6,0,1.5,19.2,71.1,114.5,155.3
82474,-4.28333333,-41.8,160,199.4,241.8,315.4,307.4,146.4,39.7,16.9,10.2,6.2,23.4,22.5,73.6
82976,-9.28333333,-43.33333333,522.77,131.5,121.3,126.5,79.1,18,1.1,0.6,0,5,36.5,86.9,107.1
82298,-3.9,-42.25,65,169.2,222.7,310.6,312,192.4,68.6,27.2,13.2,10,15.9,31.7,78.8
82678,-6.76666666,-43.01666666,123.27,173.9,150.4,180,135.1,62,7,0.7,0.9,8,48.4,73,120.2
82296,-3.41666666,-42.28333333,49,186.6,200.9,289.3,297.4,172.9,86.8,39.3,11.5,8.4,12.8,14.7,66.4
82684,-7.85,-41.9,242,155.6,133.1,171.9,85.2,35.2,4.6,0.4,0,3.2,21.9,71.7,92.5
82287,-3.08333333,-41.76666666,79.5,121.8,180.7,259.2,269.2,173.7,50.1,40.9,4.3,1.1,0.9,3.7,27.5
82882,-8.13333333,-41.13333333,374.22,129.3,113.2,165.1,49.7,22.4,3.8,1.3,0.3,3.5,21.8,55.8,69
82780,-7.03333333,-41.48333333,207.93,146.1,144.3,176.2,137.8,38.1,6.3,2.2,0.2,3.4,19.2,33.8,87.8
82480,-4.26666666,-41.78333333,161.12,203.8,237.6,329,311.1,160.3,42.6,12.6,9.8,5.6,21.6,24.9,64.5
82879,-8.35,-42.25,235.33,145.3,111.1,143.4,82.7,27.4,5.5,0.8,0.1,3.2,24.6,74.2,91.4
82578,-5.08333333,-42.81666666,74.36,196.8,239.1,286.9,265.7,120.6,14.7,10.6,12.1,13,19.5,45.9,100.1
82870,-8.41666666,-43.71666666,265,150.5,147.4,158.4,115.1,42.8,6.2,0.1,2.6,9.2,69.8,94.9,128.9
83783,-24.05,-52.36666666,616.4,213.2,159.6,133.7,123.4,142.3,97,75.8,69.4,142.7,165.8,143.2,171
83813,-24.78333333,-50,1008.8,196.8,150.3,136.1,90.7,125.3,86.2,92.1,68.1,132.2,148.8,123.2,135.6
83842,-25.43333333,-49.26666666,923.5,218.3,166.2,147,95.7,113.5,94.1,108.3,74,141.4,138.7,124.4,154.2
83775,-24.08333333,-54.25,230.11,168.9,134.9,135.2,167.7,202.4,106.2,81.9,76.3,124.8,165.4,135.1,166
83836,-25.46666666,-50.63333333,836.95,196.6,132.5,121.1,118.9,127.2,119.5,116.9,75.3,155.1,172,137.7,141.4
83811,-25,-50.85,808,202,128.7,133.1,114.1,154.8,96.5,118.3,85.8,152.1,176.3,126.6,151.3
83769,-23.15,-49.96666666,470.69,217.5,183.9,136.6,108.1,116.1,70.4,38.8,39.7,99.2,113.4,152,186.7
83766,-23.31666666,-51.13333333,566,243.2,179.8,134.9,94.3,109.7,86.4,66.1,54.3,102.6,139.7,150.9,221.1
83767,-23.4,-51.91666666,542,218.6,197.6,139.5,120.2,128.5,90.4,61.7,56.5,139.8,153.5,156.3,180.3
83844,-25.53333333,-48.51666666,4.5,363.3,304.6,270.7,164.9,121.2,99.8,112.2,82.5,162.8,171,196.7,234.6
83007,-22.96583333,-43.27944443,347,209.1,174.8,215.7,203.3,188.5,132.7,182.3,141.9,223,203.7,217,273.8
83788,-23.01583333,-44.32944443,3,235.6,188.5,206,166.9,114,71.5,90.1,54,120.9,141.6,148.9,258
83049,-22.35,-43.41666666,507,238.9,134,136.2,55.9,41.3,14.3,17.4,16.1,52.8,92.5,176.9,216.2
83790,-22.86666666,-43.45,40.3,204.9,148.7,155.7,108.7,74.8,56.4,43.5,38.8,81.2,80.9,105,152.4
83698,-21.7425,-41.33277778,11.2,133.7,61.2,102.8,84.7,43.9,27.9,29.5,23.4,70.6,98.1,162.9,168.8
83807,-21.93583333,-42.60611111,342.19,237.3,134.7,147.9,74.6,45.1,18,18.3,18.7,63.4,105.1,179.7,286.8
83718,-22.02222221,-42.36444444,505.92,254.5,135.4,157.9,65.5,33.7,22.5,21.5,17.1,64.6,106,219.3,266.9
83741,-22.8,-43.68333333,33,197.8,146.6,157.2,76.3,63.8,38.6,37.7,28.9,87,97.8,149.4,178.6
83114,-22.83333333,-42.18333333,5.57,112.2,57.8,102.9,70,69.7,38,63.7,32.5,62,63.4,99.9,117.3
83695,-21.2,-41.9,123.59,201.3,110.8,127.4,77.9,35.6,21,15.1,21.1,63.6,98.3,190.3,251
83089,-22.92055554,-42.82999999,4.67,147.4,103.4,134.2,80.5,105.7,78.9,83.8,66.7,88.5,105.9,136.3,146.2
83801,-22.87083332,-43.44138888,42,169.4,113.4,137.8,92.4,52.8,32.8,43.7,26.6,48.1,82.2,111.7,163.9
83738,-22.45111111,-44.44444444,439.89,292.9,216.9,232.5,85.9,47.6,22.9,28.7,20.9,70.7,125.4,213,260.8
83048,-22.7125,-42.64666666,62,205.6,164,194.4,123,82.7,40.9,68.4,55.1,89.2,113.6,225.4,210.3
83789,-22.92222221,-43.68694444,63,143.8,100.1,110.6,101.3,67.7,48,52.2,36.7,71.4,76.7,92.8,138.9
83696,-21.96,-42.01111111,620,245.6,134.7,165.9,87.6,60,43.4,45.9,42.6,93.1,113.6,195,262.9
83052,-22.35,-43.7,364,247.9,154.2,138.1,59.2,49.1,20.9,21.7,17.1,61.2,97.9,156.3,207.8
83805,-21.53722222,-42.16083333,95,222.8,113.2,118.4,65.9,26.6,18.2,18.2,25,65.8,109.4,187.7,267.6
82590,-5.61666666,-37.81666666,150,99.3,117,172.3,212.7,102.6,49.4,31.2,22.2,2.1,0.9,3.2,16.7
82596,-5.65,-35.65,61.35,89.2,88.9,185.5,200.5,182.2,229.3,169.6,83.9,32.5,13.7,19.5,19.8
82693,-6.43333333,-36.58333333,226.46,83.2,98.7,149.6,154.8,71.6,38.1,16.6,11.6,3.9,4.2,5.4,29.6
82691,-6.11666666,-36.81666666,324.45,82.6,102.6,171.5,169.8,81.7,38.7,21.8,9.3,1.7,5,4.6,24.1
82594,-5.11666666,-36.76666666,32,44.6,58.6,126.5,135.9,73.2,34.6,22.9,10.4,2.2,0.9,2.2,6.4
82591,-5.2,-37.3,38,95.5,98.5,221.3,202.4,101.1,52.7,36.5,7.2,1.8,2.4,1.7,14.3
82598,-5.91666666,-35.2,48.6,61.1,94.4,203.3,272.2,236.2,353.6,242.2,134.7,47.7,22.1,28.4,25.5
82690,-6.46666666,-37.08333333,169.85,96.9,91.3,144.6,147.5,73.3,23.6,11.6,8.1,0.7,9.2,2.7,20
82024,2.81666666,-60.65,90,37,30,35.7,142.2,321,353.2,286.4,205.2,103.9,73.1,60.1,63.8
82042,1.83333333,-61.13333333,94.05,64.9,50.9,93.4,196.1,321.1,336.1,296.1,216.7,150.7,100.8,89.6,84.7
83980,-31.33333333,-54.1,242.31,125,130.7,102.6,161.3,150.8,131.7,132.3,106.3,111.1,129.7,118.9,113.2
83941,-29.15,-51.51666666,640,162.1,151.7,117.8,124.3,130.3,144.4,188.5,148.9,161.3,185.6,138.4,128.6
83919,-28.66666666,-50.43333333,1047.5,168.7,167.1,107.7,112.2,111.9,123.8,171.9,132.1,156.7,165.1,139.9,147.8
83946,-29.05,-50.13333333,905,166.2,192.4,168.2,113.8,141.2,108.7,153.7,147.4,192.4,159.4,155.2,124.8
83961,-29.68333333,-51.05,25.8,139.5,130.7,113.7,121.5,110.7,132.6,149.4,131.9,168,154.2,115.5,114.5
83942,-29.19638888,-51.18638888,751,158.5,154.9,111.3,120.4,140.9,156,189.4,145.1,163.1,178.7,143.9,140.5
83912,-28.63333333,-53.6,472.5,146.8,143,119.7,158.9,156.8,152.4,164.6,130.6,160.4,248.1,163.7,153.4
83964,-30.53333333,-52.51666666,427.75,145,131.7,98.1,134.2,143.8,152.6,172.8,121.8,158.8,156.5,127,126.3
83932,-28.65,-53.11666666,394.7,152.8,162.4,112.1,155.8,116.7,127.6,166.1,144.6,166.7,219.3,153.6,132.4
83881,-27.18333333,-53.23333333,247.1,162.2,187.3,120.1,157.6,163.2,159.1,144.5,129.6,175.5,240.7,152,160.2
83916,-28.21666666,-51.5,840,133.7,130.9,118.1,119.2,133.7,133.1,130.8,128.5,191.4,198.2,156.5,114
83914,-28.21666666,-52.4,684.05,159.7,140.9,121.5,138.9,159.4,148,180.9,137.9,174.3,225,158.8,162.2
83985,-31.78333333,-52.41666666,13,109.8,187.8,107.6,106.6,129.1,114.8,99.6,126.5,122.9,87.1,102.3,108.6
83967,-30.01666666,-51.21666666,46.97,110.1,106.5,92.2,107.3,118.8,141.3,141.3,117.4,141.5,138.3,110.9,99.6
83995,-32.0786111,-52.16749999,2.46,98.9,128.6,90.9,118.4,114.6,114,125.7,122.1,113.6,98.1,95.5,86.2
83936,-29.7,-53.7,95,166.3,139.6,127.7,170.1,154.4,149.1,159,111.2,158.5,173.3,132.7,154.3
83997,-33.51666666,-53.35,24.01,83.2,153.6,121.1,120.9,124.8,114.6,114.7,103.4,88.5,78.7,79.2,85.2
83953,-30.83333333,-55.6,328,94.2,170.9,122.5,138.8,144.3,115.1,108.4,98.9,144.4,129.6,123.9,127.3
83907,-28.4,-55.01666666,245.11,143.5,164.6,139.8,201.5,165.8,139.6,130.8,102.1,152.5,249.9,161.6,161.2
83972,-29.45,-51.8,63.22,143.9,133.2,126.8,102.9,135.5,109.7,152.9,138.2,182.5,197,145.8,125.2
83948,-29.35027777,-49.73305554,4.66,156.3,164,142.9,102.9,116.5,102.8,111.9,134.8,132.4,127.9,119.4,95.3
83954,-29.86666666,-51.38333333,42.5,114.1,112.7,103.1,104.6,109.1,145.5,147.7,125.8,154.9,152.2,120.3,117.3
83927,-29.75,-57.08333333,62.31,116.5,156.7,158,150.8,123.9,88.9,63.6,47.8,85.5,164.7,124.3,126.8
83887,-27.38416666,-51.20083333,946.67,208.6,175.4,137.4,167,172.5,139.4,201,133.9,195.7,242.9,155.4,164.4
83883,-27.08527777,-52.63555555,687,177.6,210.1,131.9,172.1,174.1,159.1,191.4,141.9,194.2,246.9,157.2,168.1
83897,-27.6025,-48.62027777,1.84,250.6,201.6,179.7,123.5,132.5,75.7,118,74,141,148.9,150.6,172.5
83872,-26.9,-49.21666666,86.13,243.3,179.2,126.6,109.1,105.8,106.3,125.4,90.6,161.3,167.4,156.4,165.6
83891,-27.80222222,-50.33555555,936.83,163,158,120,111.8,126,111.4,181.5,117.5,157.3,191.4,136,133.7
83920,-28.27583332,-49.93499999,1415,185.7,182.6,126.1,106.7,144,127.2,199.8,143.2,186.1,182.5,166.5,137.1
83923,-28.51666666,-49.31666666,48.17,191.8,179.3,188.9,108.8,157.6,66.7,120.6,110,122.4,129.5,150.5,157.7
83096,-10.95,-37.05,4.72,51.9,71.7,87.6,174.2,241.8,207.2,157.6,107.5,64.9,60.7,47.1,28
83195,-11.27249999,-37.79472221,208,62.7,63.7,87.5,111.4,156.4,173.6,137.3,102.8,75.5,52.8,46.3,35.5
83097,-10.21361111,-36.84194444,19.92,52.1,30,60,110.8,165.5,170.2,142.8,91.9,55.8,36.1,24.5,23.3
83621,-20.91666666,-51.38333333,379,233.6,183.9,147.7,93.9,69.6,27.5,18,42.2,72.1,116.6,125.2,197.1
83773,-23.08333333,-48.91138888,854,287.5,182.6,159.5,105.6,94.4,62.5,56.9,48.4,96.5,143.1,131.3,210.5
83714,-22.75,-45.6,1642,253.1,206,196.7,85.5,82.5,38,45.9,38.3,85.8,133,160.6,240
83676,-21.11666666,-48.93333333,570,274.6,209.9,158.7,61.7,66.2,25.4,24.1,25.4,53,96.8,111.8,208.4
83630,-20.58333333,-47.36666666,1026.2,323.2,243.8,207.5,77.7,57.5,17.9,18.4,21.6,67.2,161.4,189,287.4
83075,-23.43333333,-46.46666666,735,269.1,224.9,203.9,86.6,79,41.7,48.5,32.1,88.9,122.5,134.8,226.8
83821,-24.71666666,-47.55,2.66,254.2,196.3,254.2,168.5,144.7,108.3,114.5,79.7,143.3,139.2,146.4,204.2
83774,-23.95,-48.88333333,707,147,131.5,121.7,84.5,128.8,75.1,NA,40.9,94.1,116,109.6,NA
83678,-21.25,-48.3,595,262.1,210.1,176.3,79.8,57.8,28.8,16.8,29.2,58.1,133.8,160.7,230.8
83716,-22.11666666,-51.38333333,435.55,232.5,172.2,138.3,73,82.6,48.3,39.7,42.7,84.2,121,129.6,175.6
83782,-23.93333333,-46.33333333,13.51,206.7,203.2,257.3,180.3,123.2,123.1,102.4,73.6,145.1,137.5,110.4,181.1
83726,-21.96666666,-47.86666666,856,303.8,221.1,186.7,85.4,66.8,32.1,30.6,34.4,67.1,120.6,155.1,254.6
83781,-23.4961111,-46.61972221,792.06,288.2,246.2,214.5,82.1,78.1,50.3,47.8,36,84.8,126.6,137,224.4
83669,-21.48333333,-47.55,617.39,271.6,204.3,156.7,66.3,63.3,24.1,20,25.6,68.6,129.1,165.2,255.7
83851,-23.48333333,-47.43333333,645,284.2,155.5,142.9,64.7,82.5,54.5,55.7,31.9,67.9,100.6,131.5,183.7
83784,-23.03333333,-45.55,577,238.1,197.3,163.6,78.6,55.8,26.7,37.9,26.4,79.6,118.2,160.7,178
83786,-23.45,-45.06666666,8,312.9,290.5,311.1,232.5,122.9,94.2,92.6,74.4,196.9,245.5,263.6,280.4
83623,-20.41666666,-49.98333333,502.5,291.3,200.8,152.1,84.1,56.4,21.8,16.4,18.1,60.2,103.8,138.8,200.8
82659,-7.2,-48.2,228.52,250.1,268.6,294.6,237.8,98.2,20,8.2,14.3,62.5,139.7,192.1,232.9
83033,-10.19083333,-48.30166666,280,285.4,274.3,292.8,175.4,69.7,6.9,1.2,1.9,55.7,161.1,243.6,263.6
82863,-8.96666667,-48.18333333,187,277.5,219.7,275.8,172.6,53.6,4.3,3.6,8.8,44.8,147.8,216.4,247.8
83228,-12.01666667,-48.35,242.49,286.3,203.1,249.7,132,22.2,4.7,0.8,1.7,33.2,108.4,191,275.3
83064,-10.71666667,-48.41666667,239.2,255.7,237.9,269.3,166.3,47.7,3.1,1,5.2,50.3,141.6,186.9,257.7
83235,-12.4,-46.41666666,603.59,286.6,208.5,277.7,138.3,34.5,2.9,1,2.1,21.1,123.8,223.8,291.2
